"content-section","content-section 2","highlight"
"Red Teaming",", 
une approche globale et réaliste visant à simuler les tactiques d’un attaquant avancé sur plusieurs semaines.","Simulation d’adversaire"
"Audit Technique","un audit méthodique et cadré de vos systèmes, applications, infrastructures ou configurations","Analyse ciblée de vos actifs"
